name,album,artist,release_date,length,popularity,danceability,acousticness,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature,track_id,genres
Ayo,Fan of A Fan The Album (Expanded Edition),Chris Brown,2015-02-24,225226,72,0.823,0.0399,0.563,0.0,0.0851,-5.095,0.0443,98.031,4,0k6DnZMLoEUH8NGD5zh2SE,"['dance pop', 'pop', 'r&b']"
Lift Me Up,Lift Me Up,Tyga,2021-11-19,168224,72,0.913,0.0163,0.534,0.000875,0.269,-6.048,0.0571,107.054,4,35ovElsgyAtQwYPYnZJECg,"['dance pop', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']"
Ayy Macarena,Ayy Macarena,Tyga,2019-11-13,131606,71,0.816,0.133,0.629,0.0,0.0692,-5.568,0.226,96.493,4,6LcauUZjF1eXQrgqMUecHX,"['dance pop', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']"
Just Give Me a Reason (feat. Nate Ruess),The Truth About Love,P!nk,2012-09-18,242733,82,0.778,0.346,0.547,0.000302,0.132,-7.273,0.0489,95.002,4,1mKXFLRA179hdOWQBwUk9e,"['dance pop', 'pop']"
Try,The Truth About Love,P!nk,2012-09-18,247906,78,0.674,0.00144,0.628,0.0,0.0944,-7.079,0.03,103.998,4,6mDokQBBmkDhu7uDEFhyQ7,"['dance pop', 'pop']"
Raise Your Glass,Raise Your Glass,P!nk,2010-10-05,202960,77,0.7,0.0048,0.709,0.0,0.029,-5.006,0.0838,122.019,4,1gv4xPanImH17bKZ9rOveR,"['dance pop', 'pop']"
So What,Funhouse (Expanded Edition),P!nk,2008-10-24,215160,77,0.534,0.000334,0.87,0.0,0.241,-3.078,0.0425,126.019,4,0JiY190vktuhSGN6aqJdrt,"['dance pop', 'pop']"
Cover Me In Sunshine,All I Know So Far: Setlist,P!nk,2021-05-21,138573,68,0.473,0.0528,0.592,0.0,0.131,-6.859,0.138,159.7,4,6Tio0ZoDeSQnI7EBAqWer2,"['dance pop', 'pop']"
What About Us,Beautiful Trauma,P!nk,2017-10-13,269600,75,0.491,0.0281,0.588,2.01e-06,0.0906,-6.177,0.0506,113.608,4,0Qh38w01QRXK6KHIv0e3hb,"['dance pop', 'pop']"
Irrelevant,Irrelevant,P!nk,2022-07-14,232384,73,0.672,0.0244,0.799,3.18e-05,0.0945,-3.664,0.0973,144.011,4,5Oz15cyQP3TMDDXKWm4tYH,"['dance pop', 'pop']"
True Love (feat. Lily Allen),The Truth About Love,P!nk,2012-09-18,230733,72,0.457,0.00144,0.823,0.0,0.108,-4.76,0.311,192.205,4,1QNqrsNQ1JVLEwncov3lEY,"['dance pop', 'pop']"
Who Knew,I'm Not Dead,P!nk,2006-04-04,208493,72,0.688,0.00462,0.734,0.0,0.0756,-4.569,0.0274,140.004,4,2hns6Dv29Yrg68AVTJiAyA,"['dance pop', 'pop']"
Get the Party Started,M!ssundaztood (Expanded Edition),P!nk,2001,192533,70,0.802,0.0011,0.903,0.0,0.173,-3.267,0.046,128.93,4,02jcEwywffn3Tsb48fXmlW,"['dance pop', 'pop']"
New Light,Sob Rock,John Mayer,2021-07-16,217426,77,0.826,0.316,0.694,0.0285,0.074,-7.862,0.0315,123.932,4,4T6FWA703h6H7zk1FoSARw,"['neo mellow', 'singer-songwriter']"
Slow Dancing in a Burning Room,Continuum,John Mayer,2006-09-11,242000,75,0.667,0.575,0.361,0.00506,0.0805,-8.69,0.0273,134.018,5,2jdAk8ATWIL3dwT47XpRfu,"['neo mellow', 'singer-songwriter']"
You're Gonna Live Forever in Me,The Search for Everything,John Mayer,2017-04-14,190013,75,0.542,0.983,0.131,0.00544,0.156,-14.104,0.0316,136.161,4,51lPx6ZCSalL2kvSrDUyJc,"['neo mellow', 'singer-songwriter']"
Your Body Is a Wonderland,Room For Squares,John Mayer,2001-08-16,249626,75,0.647,0.0206,0.729,0.0489,0.134,-6.251,0.0236,94.01,4,7vFv0yFGMJW3qVXbAd9BK9,"['neo mellow', 'singer-songwriter']"
Waiting On the World to Change,Continuum,John Mayer,2006-09-11,201173,74,0.578,0.157,0.756,0.000232,0.249,-5.82,0.115,176.739,4,5imShWWzwqfAJ9gXFpGAQh,"['neo mellow', 'singer-songwriter']"
"Free Fallin' - Live at the Nokia Theatre, Los Angeles, CA - December 2007",Where the Light Is: John Mayer Live In Los Angeles,John Mayer,2008,263573,73,0.315,0.771,0.296,0.0,0.702,-13.262,0.0315,173.509,4,4LloVtxNZpeh7q7xdi1DQc,"['neo mellow', 'singer-songwriter']"
Gravity,Continuum,John Mayer,2006-09-11,245826,73,0.753,0.731,0.326,0.00131,0.24,-9.883,0.0342,123.799,3,3zakx7RAwdkUQlOoQ7SJRt,"['neo mellow', 'singer-songwriter']"
I Guess I Just Feel Like,Sob Rock,John Mayer,2021-07-16,286386,71,0.548,0.515,0.483,0.0674,0.0922,-9.102,0.0268,159.952,4,4Im6GRj17qa7NW76OsJh1s,"['neo mellow', 'singer-songwriter']"
XO,XO,John Mayer,2014-05-27,213626,70,0.431,0.749,0.377,0.0,0.211,-9.753,0.0288,173.67,4,7GX5flRQZVHRAGd6B4TmDO,"['neo mellow', 'singer-songwriter']"
Last Train Home,Sob Rock,John Mayer,2021-07-16,187306,70,0.591,0.235,0.831,0.00142,0.0571,-6.612,0.0355,93.007,4,0tgBtQ0ISnMQOKorrN9HLX,"['neo mellow', 'singer-songwriter']"
The Grinch,A Love Letter To You 4,Trippie Redd,2019-11-22,91288,81,0.676,0.137,0.503,6.36e-05,0.0981,-6.115,0.0971,162.85,4,1W24W6jQegnNh0x5DfBBPT,"['melodic rap', 'rap', 'trap']"
Taking A Walk,LIFE'S A TRIP,Trippie Redd,2018-08-10,121680,79,0.767,0.68,0.538,0.0,0.192,-6.044,0.052,81.031,4,4mHgYpuGHu99Mw69E83CP2,"['melodic rap', 'rap', 'trap']"
1400 / 999 Freestyle,A Love Letter To You 3,Trippie Redd,2018-11-09,175954,78,0.825,0.0079,0.572,0.0,0.113,-6.067,0.0864,141.991,4,75lcPkAkUsKWHGBlGM476R,"['melodic rap', 'rap', 'trap']"
Miss The Rage (feat. Playboi Carti),Trip At Knight (Complete Edition),Trippie Redd,2021-08-21,236883,76,0.581,0.0151,0.877,0.0,0.826,-4.938,0.114,77.006,4,2BITQ360Knh6qNAOqR7Dyq,"['melodic rap', 'rap', 'trap']"
Rich MF (feat. Polo G & Lil Durk),Trip At Knight (Complete Edition),Trippie Redd,2021-08-21,247714,74,0.756,0.0849,0.698,0.0,0.221,-5.464,0.178,77.497,4,6cUHiQEECDl5m3WFGQ1GCR,"['melodic rap', 'rap', 'trap']"
"Save Me, Please",First Draft,Trippie Redd,2022-09-30,127934,74,0.641,0.865,0.299,1.35e-06,0.126,-10.046,0.0285,143.121,4,0FzEq5yepkq03NI8axcOBu,"['melodic rap', 'rap', 'trap']"
Love Scars,A Love Letter To You,Trippie Redd,2017-05-14,143969,73,0.659,0.000404,0.614,0.0,0.123,-7.32,0.0541,119.405,4,0AICBlLzFCTpUqmAbtzB2z,"['melodic rap', 'rap', 'trap']"
Big 14 (feat. Offset & Moneybagg Yo),Big 14 (feat. Offset & Moneybagg Yo),Trippie Redd,2022-08-05,247458,73,0.71,0.199,0.828,0.0,0.168,-4.725,0.0726,128.027,4,7rQ84WsT2Wcnrz5gTmbGmw,"['melodic rap', 'rap', 'trap']"
Dark Knight Dummo,LIFE'S A TRIP,Trippie Redd,2018-08-10,256162,73,0.28,0.167,0.821,0.0,0.139,-2.864,0.111,181.444,3,4apiNNK0jp9uqn3JDG9My1,"['melodic rap', 'rap', 'trap']"
Who Needs Love,A Love Letter To You 4,Trippie Redd,2019-11-22,158532,71,0.85,0.763,0.516,0.0,0.0896,-7.664,0.0714,108.963,4,2ktxr00GpTtbMNeBjNeY8D,"['melodic rap', 'rap', 'trap']"
Stir Fry,Culture II,Migos,2018-01-26,190288,77,0.817,0.00263,0.816,0.0,0.159,-5.402,0.269,181.982,4,2UVbBKQOdFAekPTRsnkzcf,"['atl hip hop', 'hip hop', 'pop rap', 'rap', 'trap']"
Pure Water (with Migos),Perfect Ten,Mustard,2019-06-28,192470,76,0.682,0.174,0.559,0.0,0.344,-5.545,0.127,202.015,4,3j84U36KvLeXNDPv4t5pI8,"['cali rap', 'hip hop', 'pop', 'pop rap', 'rap', 'southern hip hop', 'trap']"
Walk It Talk It,Culture II,Migos,2018-01-26,276147,76,0.907,0.0876,0.633,2.6e-06,0.106,-5.145,0.184,145.914,4,6n4U3TlzUGhdSFbUUhTvLP,"['atl hip hop', 'hip hop', 'pop rap', 'rap', 'trap']"
Bad and Boujee (feat. Lil Uzi Vert),Culture,Migos,2017-01-27,343150,75,0.926,0.0611,0.666,0.0,0.123,-5.314,0.244,127.079,4,0M9ydKzuF3oZTfYYPfaGX1,"['atl hip hop', 'hip hop', 'pop rap', 'rap', 'trap']"
Slide (feat. Frank Ocean & Migos),Funk Wav Bounces Vol.1,Calvin Harris,2017-06-30,230813,73,0.736,0.498,0.795,1.21e-06,0.254,-3.299,0.0545,104.066,4,6gpcs5eMhJwax4mIfKDYQk,"['dance pop', 'edm', 'electro house', 'house', 'pop', 'progressive house', 'uk dance']"
Narcos,Culture II,Migos,2018-01-26,255378,72,0.936,0.0142,0.585,0.0,0.132,-6.914,0.125,124.991,4,0wbnC9AUenxp613TYaJsGK,"['atl hip hop', 'hip hop', 'pop rap', 'rap', 'trap']"
I Get the Bag (feat. Migos),Mr. Davis,Gucci Mane,2017-10-13,233087,71,0.89,0.0232,0.633,0.000343,0.0993,-5.475,0.168,139.948,4,1XRgIKC5TPwo7nWGyKqgG0,"['atl hip hop', 'dirty south rap', 'gangster rap', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']"
Slippery (feat. Gucci Mane),Culture,Migos,2017-01-27,304041,70,0.92,0.307,0.675,0.0,0.104,-5.661,0.263,141.967,4,0TBgMKD86t1VP3IzhxCoUl,"['atl hip hop', 'hip hop', 'pop rap', 'rap', 'trap']"
Notice Me,Culture II,Migos,2018-01-26,233880,69,0.793,0.112,0.344,1.68e-06,0.15,-9.757,0.357,166.105,4,3OnOomd79OjqSYHchCQ6ht,"['atl hip hop', 'hip hop', 'pop rap', 'rap', 'trap']"
1-800-273-8255,Everybody,Logic,2017-05-05,250173,78,0.62,0.569,0.574,0.0,0.19,-7.788,0.0479,100.023,4,5tz69p7tJuGPeMGwNTxYuV,"['conscious hip hop', 'dmv rap', 'hip hop', 'pop rap', 'rap']"
Homicide (feat. Eminem),Confessions of a Dangerous Mind,Logic,2019-05-10,245386,75,0.694,0.137,0.759,0.0,0.167,-5.667,0.398,140.055,4,7M2tXmeS15NAzEn7ABFeBg,"['conscious hip hop', 'dmv rap', 'hip hop', 'pop rap', 'rap']"
Ballin,Uncle Drew (Original Motion Picture Soundtrack),Various Artists,2018-06-15,166080,70,0.737,0.0475,0.854,0.0,0.0905,-6.414,0.221,150.621,4,3QzAOrNlsabgbMwlZt7TAY,"['g funk', 'gangster rap', 'hip hop', 'rap', 'west coast rap']"
Everyday,Bobby Tarantino II,Logic,2018-03-09,204746,69,0.667,0.0425,0.741,0.0,0.0761,-4.099,0.0378,149.908,4,2N3U8uTYhjX2KwGT0pf5x0,"['conscious hip hop', 'dmv rap', 'hip hop', 'pop rap', 'rap']"
Perfect,No Pressure,Logic,2020-07-24,100291,69,0.769,0.00948,0.829,6.65e-05,0.301,-5.228,0.0661,159.943,4,0tgVpDi06FyKpA1z0VMD4v,"['conscious hip hop', 'dmv rap', 'hip hop', 'pop rap', 'rap']"
44 More,Bobby Tarantino II,Logic,2018-03-09,188600,67,0.824,0.0718,0.584,0.0,0.106,-7.098,0.221,139.965,4,3e7Y6sfFlIdBMJhX7wpqVO,"['conscious hip hop', 'dmv rap', 'hip hop', 'pop rap', 'rap']"
Keanu Reeves,Confessions of a Dangerous Mind,Logic,2019-05-10,225920,65,0.712,0.0557,0.891,0.0,0.134,-6.457,0.24,170.13,4,3PYx9Wte3jwb48V0wArMOy,"['conscious hip hop', 'dmv rap', 'hip hop', 'pop rap', 'rap']"
Everybody,Everybody,Logic,2017-05-05,162346,64,0.885,0.161,0.94,0.0,0.0675,-5.908,0.0913,110.005,4,4RvWPyQ5RL0ao9LPZeSouE,"['conscious hip hop', 'dmv rap', 'hip hop', 'pop rap', 'rap']"
Gang Related,Under Pressure (Deluxe),Logic,2014-10-21,167320,64,0.597,0.209,0.856,0.0159,0.278,-7.089,0.0431,131.95,4,1Kp6WFxRzc0sRBmGSgIYat,"['conscious hip hop', 'dmv rap', 'hip hop', 'pop rap', 'rap']"
Indica Badu,Bobby Tarantino II,Logic,2018-03-09,260320,62,0.742,0.0402,0.72,0.000846,0.0839,-2.876,0.116,77.011,4,0jqBo5RYn008f4ZY8kPewW,"['conscious hip hop', 'dmv rap', 'hip hop', 'pop rap', 'rap']"
Say You Won't Let Go,Back from the Edge,James Arthur,2016-10-28,211466,86,0.358,0.695,0.557,0.0,0.0902,-7.398,0.059,85.043,4,5uCax9HTNlzGybIStD3vDh,"['pop', 'talent show', 'uk pop']"
Car's Outside,YOU,James Arthur,2019-10-18,248373,84,0.338,0.039,0.562,0.0,0.107,-7.181,0.029,149.907,4,0otRX6Z89qKkHkQ9OqJpKt,"['pop', 'talent show', 'uk pop']"
Train Wreck,Back from the Edge,James Arthur,2016-10-28,208826,81,0.311,0.701,0.485,0.0,0.0726,-5.726,0.0365,77.355,4,55Am8neGJkdj2ADaM3aw5H,"['pop', 'talent show', 'uk pop']"
Can I Be Him,Back from the Edge,James Arthur,2016-10-28,246880,79,0.696,0.308,0.543,0.0,0.0939,-6.164,0.0489,107.969,4,0VhgEqMTNZwYL1ARDLLNCX,"['pop', 'talent show', 'uk pop']"
Impossible,James Arthur (Deluxe),James Arthur,2013-11-04,209440,78,0.376,0.135,0.695,0.0,0.11,-4.782,0.0933,169.533,4,5yVIlYEHZxQVLyInCdldoS,"['pop', 'talent show', 'uk pop']"
Questions,Questions,Lost Frequencies,2022-06-03,177156,77,0.599,0.405,0.713,2.53e-05,0.266,-7.008,0.0542,123.962,4,3ojTJaonfkL96iIWa47SU3,"['belgian edm', 'edm', 'pop', 'pop dance', 'tropical house']"
Rewrite The Stars (with James Arthur & Anne-Marie),Rewrite The Stars (with James Arthur & Anne-Marie),James Arthur,2018-10-25,218293,75,0.67,0.237,0.743,0.0,0.465,-4.993,0.0393,125.944,4,6mQLN3zRtAp6ovjusyYKrV,"['pop', 'talent show', 'uk pop']"
Lasting Lover,Lasting Lover,Sigala,2020-09-04,218358,73,0.676,0.197,0.786,0.0,0.0943,-4.529,0.0478,125.983,4,0DmAvNCAK08oCi7miSZUIY,"['dance pop', 'edm', 'house', 'pop', 'pop dance', 'tropical house']"
Naked,YOU,James Arthur,2019-10-18,233400,70,0.525,0.084,0.61,0.0,0.0572,-6.793,0.0404,101.875,4,7wyz8PA0B7oBWvR2P5qTWt,"['pop', 'talent show', 'uk pop']"
Falling Like The Stars,YOU,James Arthur,2019-10-18,211653,72,0.552,0.79,0.347,2.15e-06,0.111,-9.542,0.0303,113.809,4,395KzBy0bkb57dEvg6cfzJ,"['pop', 'talent show', 'uk pop']"
Power,Glory Days (Expanded Edition),Little Mix,2016-11-18,247840,78,0.566,0.0372,0.855,0.000157,0.181,-4.016,0.211,172.966,4,2gZUPNdnz5Y45eiGxpHGSc,"['dance pop', 'girl group', 'pop', 'post-teen pop', 'talent show', 'uk pop']"
Secret Love Song (feat. Jason Derulo),Get Weird (Expanded Edition),Little Mix,2015-11-06,249810,78,0.529,0.215,0.614,0.0,0.277,-5.032,0.0479,92.972,4,6KHL1En9v6iNWjcs44mcmU,"['dance pop', 'girl group', 'pop', 'post-teen pop', 'talent show', 'uk pop']"
Shout Out to My Ex,Glory Days (Expanded Edition),Little Mix,2016-11-18,246240,76,0.773,0.0242,0.747,8.99e-06,0.109,-4.061,0.0885,126.014,4,0ErK6K0kYr0Ow2RkPMhmMs,"['dance pop', 'girl group', 'pop', 'post-teen pop', 'talent show', 'uk pop']"
Black Magic,Get Weird (Expanded Edition),Little Mix,2015-11-06,211786,76,0.776,0.0343,0.875,0.0,0.314,-5.535,0.0575,111.988,4,6rmXhRIemCTPyMYZRDN7Qg,"['dance pop', 'girl group', 'pop', 'post-teen pop', 'talent show', 'uk pop']"
Love Me or Leave Me,Get Weird (Expanded Edition),Little Mix,2015-11-06,206493,72,0.437,0.566,0.351,0.0,0.0888,-6.823,0.0313,68.659,4,1n73Qe6oEprLsUNHXET2pb,"['dance pop', 'girl group', 'pop', 'post-teen pop', 'talent show', 'uk pop']"
Kiss My (Uh Oh),Therapy,Anne-Marie,2021-07-23,176800,71,0.638,0.0151,0.878,0.000223,0.308,-3.639,0.0484,103.948,4,0MWiSBKm8Avs8iDIxcertp,"['dance pop', 'pop', 'pop dance', 'post-teen pop', 'tropical house', 'uk pop']"
Love Me Like You,Get Weird (Expanded Edition),Little Mix,2015-11-06,197786,70,0.783,0.211,0.63,0.0,0.3,-4.985,0.044,106.053,4,0Cy7wt6IlRfBPHXXjmZbcP,"['dance pop', 'girl group', 'pop', 'post-teen pop', 'talent show', 'uk pop']"
Sweet Melody,Confetti,Little Mix,2020-11-06,213693,70,0.448,0.0739,0.824,0.0,0.113,-4.249,0.057,119.965,4,76Tuo484SLohJakHLnGI3B,"['dance pop', 'girl group', 'pop', 'post-teen pop', 'talent show', 'uk pop']"
Woman Like Me (feat. Nicki Minaj),LM5 (Deluxe),Little Mix,2018-11-16,229720,69,0.754,0.177,0.854,0.0,0.0808,-3.449,0.0608,75.002,4,222B3aljXx6fFwKmFjuBED,"['dance pop', 'girl group', 'pop', 'post-teen pop', 'talent show', 'uk pop']"
Let Me Love You,Encore,DJ Snake,2016-08-05,205946,84,0.649,0.0863,0.716,2.63e-05,0.135,-5.371,0.0349,99.988,4,0lYBSQXN6rCTvUZvg9S0lU,"['dance pop', 'edm', 'electronic trap', 'pop', 'pop dance', 'pop rap']"
"Taki Taki (feat. Selena Gomez, Ozuna & Cardi B)",Carte Blanche,DJ Snake,2019-07-25,212500,74,0.842,0.157,0.801,4.82e-06,0.0642,-4.167,0.228,95.881,4,0KoiMHhqKLoL4xM54rcWYY,"['dance pop', 'edm', 'electronic trap', 'pop', 'pop dance', 'pop rap']"
Middle,Encore,DJ Snake,2016-08-05,220573,76,0.583,0.0141,0.695,0.0,0.0527,-5.336,0.0423,104.879,4,410TZrK18uRjtsTunG14cl,"['dance pop', 'edm', 'electronic trap', 'pop', 'pop dance', 'pop rap']"
U Are My High,U Are My High,DJ Snake,2021-07-28,180480,72,0.503,0.0221,0.783,0.00223,0.14,-4.761,0.0385,125.122,4,3S7A85bAWOd6ltk6r2ANOI,"['dance pop', 'edm', 'electronic trap', 'pop', 'pop dance', 'pop rap']"
Turn Down for What,Turn Down for What,DJ Snake,2013-12-18,213733,72,0.818,0.00107,0.799,0.128,0.057,-4.1,0.156,100.014,4,67awxiNHNyjMXhVgsHuIrs,"['dance pop', 'edm', 'electronic trap', 'pop', 'pop dance', 'pop rap']"
You Know You Like It,You Know You Like It,DJ Snake,2014-10-14,247266,70,0.407,0.0141,0.725,2.46e-06,0.306,-5.346,0.188,196.093,4,57kR5SniQIbsbVoIjjOUDa,"['dance pop', 'edm', 'electronic trap', 'pop', 'pop dance', 'pop rap']"
Run It (feat. Rick Ross & Rich Brian),Shang-Chi and The Legend of The Ten Rings: The Album,88rising,2021-09-03,163373,70,0.688,0.0195,0.725,7.63e-06,0.0726,-7.806,0.044,104.006,4,5x4vgABKiGp4Vg7ZyFRxhn,"['asian american hip hop', 'pop']"
I Like Me Better,I met you when I was 18. (the playlist),Lauv,2018-05-31,197436,83,0.752,0.535,0.505,2.55e-06,0.104,-7.621,0.253,91.97,4,0EcQcdcbQeVJn9fknj44Be,"['electropop', 'pop']"
i'm so tired...,~how i'm feeling~,Lauv,2020-03-06,162586,77,0.576,0.178,0.736,0.0,0.238,-7.572,0.224,101.928,4,6JgHKt0WwdwlXIht6M0mqa,"['electropop', 'pop']"
Who (feat. BTS),~how i'm feeling~,Lauv,2020-03-06,180413,76,0.632,0.546,0.339,0.0,0.104,-7.983,0.0337,141.642,3,0pSqYDTjY1Xt86usTQslAx,"['electropop', 'pop']"
Never Not,I met you when I was 18. (the playlist),Lauv,2018-05-31,208000,74,0.47,0.693,0.221,0.0,0.104,-9.243,0.0371,133.714,4,3ZPBZH2k9p306C1bu7bkhC,"['electropop', 'pop']"
Paris in the Rain,I met you when I was 18. (the playlist),Lauv,2018-05-31,204712,74,0.426,0.771,0.408,7.88e-06,0.394,-9.419,0.0524,76.309,4,2MOoIbJWIYikwIXjBDe26i,"['electropop', 'pop']"
Feelings,~how i'm feeling~,Lauv,2020-03-06,189906,72,0.7,0.0578,0.392,0.0,0.0802,-8.911,0.033,103.044,4,04uMsCRuGU3lycCKyqBc8I,"['electropop', 'pop']"
All 4 Nothing (I'm So In Love),All 4 Nothing,Lauv,2022-08-05,183014,69,0.72,0.0411,0.819,0.0,0.0606,-4.588,0.0362,131.99,4,7I5WT7DtpwSAhEeDLpZEfm,"['electropop', 'pop']"
Mean It,~how i'm feeling~,Lauv,2020-03-06,232853,72,0.746,0.0407,0.45,0.0,0.172,-8.543,0.0873,95.998,4,5IyuGEmlFsnp1TN1M9OSd8,"['electropop', 'pop']"
Stranger,All 4 Nothing,Lauv,2022-08-05,164688,71,0.65,0.128,0.538,4.95e-06,0.127,-7.511,0.0464,153.179,4,5fpq1wF8xa5tSSlcKHdmGQ,"['electropop', 'pop']"
"fuck, i'm lonely (with Anne-Marie)",~how i'm feeling~,Lauv,2020-03-06,198973,71,0.809,0.46,0.547,0.0,0.0543,-7.304,0.0609,95.012,4,7elRvorDP9KEOHIisFgrJG,"['electropop', 'pop']"
See You Again (feat. Kali Uchis),Flower Boy,"Tyler, The Creator",2017-07-21,180386,85,0.558,0.371,0.559,7.49e-06,0.109,-9.222,0.0959,78.558,4,7KA4W4McWYRpgf0fWsJZWB,"['hip hop', 'rap']"
NEW MAGIC WAND,IGOR,"Tyler, The Creator",2019-05-17,195320,84,0.621,0.0967,0.73,0.000131,0.673,-5.414,0.107,139.566,4,0fv2KH6hac06J86hBUTcSf,"['hip hop', 'rap']"
ARE WE STILL FRIENDS?,IGOR,"Tyler, The Creator",2019-05-17,265480,82,0.216,0.128,0.497,2.39e-06,0.111,-8.025,0.0371,187.308,3,5TxRUOsGeWeRl3xOML59Ai,"['hip hop', 'rap']"
EARFQUAKE,IGOR,"Tyler, The Creator",2019-05-17,190066,82,0.554,0.23,0.498,5.98e-06,0.795,-8.866,0.0685,79.635,4,5hVghJ4KaYES3BFUATCYn0,"['hip hop', 'rap']"
BEST INTEREST,BEST INTEREST,"Tyler, The Creator",2020-01-25,127921,80,0.596,0.0861,0.575,0.000153,0.334,-8.325,0.0514,98.265,3,3jHdKaLCkuNEkWcLVmQPCX,"['hip hop', 'rap']"
"GONE, GONE / THANK YOU",IGOR,"Tyler, The Creator",2019-05-17,375386,79,0.518,0.216,0.492,0.0012,0.146,-8.436,0.193,78.848,4,1hz7SRTGUNAtIQ46qiNv2p,"['hip hop', 'rap']"
WUSYANAME (feat. Youngboy Never Broke Again & Ty Dolla $ign),CALL ME IF YOU GET LOST,"Tyler, The Creator",2021-06-25,121572,78,0.493,0.269,0.653,0.0,0.511,-5.666,0.0466,142.347,4,5B0kgjHULYJhAQkK5XsMoC,"['hip hop', 'rap']"
SWEET / I THOUGHT YOU WANTED TO DANCE (feat. Brent Faiyaz & Fana Hues),CALL ME IF YOU GET LOST,"Tyler, The Creator",2021-06-25,588139,77,0.468,0.333,0.652,0.000318,0.55,-4.912,0.0722,140.223,4,3EG9FJ0ToLfgnc1IG2Z1wz,"['hip hop', 'rap']"
She,Goblin,"Tyler, The Creator",2011-05-09,253386,75,0.35,0.256,0.621,3.44e-05,0.613,-6.495,0.233,83.375,4,200x8ONbPfFzByUr3fVz46,"['hip hop', 'rap']"
Heartless (feat. Morgan Wallen),Diplo Presents Thomas Wesley Chapter 1: Snake Oil,Diplo,2020-05-29,169226,78,0.765,0.275,0.556,0.0,0.0824,-6.417,0.0512,111.033,4,3FU6urUVsgXa6RBuV2PdRk,"['edm', 'electro house', 'house', 'moombahton', 'ninja', 'pop', 'pop dance', 'tropical house']"
Where Are Ü Now (with Justin Bieber),Skrillex and Diplo present Jack Ü,Jack Ü,2015-02-24,250285,75,0.432,0.041,0.781,4.21e-06,0.0789,-4.038,0.0567,139.432,4,66hayvUbTotekKU3H4ta1f,"['dance pop', 'edm', 'electro house', 'pop dance']"
Electricity (with Dua Lipa),Electricity (with Dua Lipa),Silk City,2018-09-06,238173,75,0.588,0.0104,0.67,3.33e-06,0.338,-6.439,0.0473,118.159,4,5N4erncE7kuUccm7zEmwzk,['edm']
Daylight,Daylight,Joji,2020-08-06,163905,73,0.528,0.00488,0.749,9.6e-05,0.0949,-7.571,0.0479,163.944,4,51Zw1cKDgkad0CXv23HCMU,['viral pop']
Wish - Trippie Mix,LIFE'S A TRIP,Trippie Redd,2018-08-10,176874,72,0.561,0.232,0.832,0.0,0.107,-7.661,0.0717,93.991,4,6IpvkngH89cA3hhPC84Leg,"['melodic rap', 'rap', 'trap']"
Don't Forget My Love,Diplo,Diplo,2022-03-04,199090,66,0.638,0.0239,0.875,0.0149,0.119,-6.222,0.0413,121.035,4,22pjmqZq2oTZtEThEt66Zn,"['edm', 'electro house', 'house', 'moombahton', 'ninja', 'pop', 'pop dance', 'tropical house']"
Wish,California,Diplo,2018-03-23,175273,71,0.57,0.0748,0.903,0.0,0.199,-4.835,0.0905,93.943,4,2U5WueTLIK5WJLD7mvDODv,"['edm', 'electro house', 'house', 'moombahton', 'ninja', 'pop', 'pop dance', 'tropical house']"
On My Mind,Do You Dance?,Diplo,2021-03-12,189268,69,0.771,0.00161,0.729,0.672,0.217,-6.577,0.0408,123.027,4,5a7NdkF09AfD0H607eiOkX,"['edm', 'electro house', 'house', 'moombahton', 'ninja', 'pop', 'pop dance', 'tropical house']"
Lost,channel ORANGE,Frank Ocean,2012-07-10,234093,86,0.913,0.0272,0.603,0.000503,0.167,-4.892,0.226,123.061,4,3GZD6HmiNUhxXYf8Gch723,"['hip hop', 'lgbtq+ hip hop', 'neo soul', 'pop']"
Pink + White,Blonde,Frank Ocean,2016-08-20,184516,85,0.545,0.667,0.545,5.48e-05,0.417,-7.362,0.107,159.94,3,3xKsf9qdS1CyvXSMEid6g8,"['hip hop', 'lgbtq+ hip hop', 'neo soul', 'pop']"
Novacane,Novacane,Frank Ocean,2011-01-01,302346,82,0.762,0.0584,0.508,0.00126,0.16,-9.112,0.0919,93.51,4,4osgfFTICMkcGbbigdsa53,"['hip hop', 'lgbtq+ hip hop', 'neo soul', 'pop']"
Ivy,Blonde,Frank Ocean,2016-08-20,249191,81,0.575,0.785,0.386,0.000289,0.229,-9.584,0.037,116.408,4,2ZWlPOoWh0626oTaHrnl2a,"['hip hop', 'lgbtq+ hip hop', 'neo soul', 'pop']"
Nights,Blonde,Frank Ocean,2016-08-20,307151,80,0.457,0.427,0.551,1.15e-06,0.113,-9.36,0.167,89.87,4,7eqoqGkKwgOaWNNHx90uEZ,"['hip hop', 'lgbtq+ hip hop', 'neo soul', 'pop']"
Chanel,Chanel,Frank Ocean,2017-03-10,210285,79,0.776,0.874,0.503,0.0,0.112,-5.732,0.237,110.134,4,6Nle9hKrkL1wQpwNfEkxjh,"['hip hop', 'lgbtq+ hip hop', 'neo soul', 'pop']"
